dezena,delay
22,3
7,2
16,2
3,1
5,1
6,1
9,1
12,1
13,1
18,1
1,0
2,0
4,0
8,0
10,0
11,0
14,0
15,0
17,0
19,0
20,0
21,0
23,0
24,0
25,0
