label,game_size,status,generation_events,jogos,concursos_comparados,stuck_13,stuck_14,stuck_15,redundancia_media
STRUCT_TEST_15D_001,15,INCOMPLETO,0,0,0,0,0,0,
STRUCT_TEST_16D_001,16,INCOMPLETO,5,1400,50,21,2,0,0.806
STRUCT_TEST_17D_001,17,INCOMPLETO,4,1450,50,92,10,0,0.799
STRUCT_TEST_18D_001,18,INCOMPLETO,4,1700,50,211,31,1,0.8115
STRUCT_TEST_19D_001,19,INCOMPLETO,4,700,50,126,34,1,0.8212
STRUCT_TEST_20D_001,20,INCOMPLETO,4,1200,50,366,137,19,0.838
